1,Unlocking Android,1933988673,177.76,10.48,2.09,908,2009-04-01,Unlocking Android: A Developer's Guide provides concise; hands-on instruction for the Android operating system and development tools. This book teaches important architectural concepts in a straightforward writing style and builds on this with practical and useful examples throughout.,W. Frank Ableson,Open Source,N,1900-01-01,1900-01-01,.
2,Android in Action; Second Edition,1935182722,34.98,0.65,0.13,1512,2011-01-14,"Android in Action; Second Edition is a comprehensive tutorial for Android developers. Taking you far beyond ""Hello Android;"" this fast-paced book puts you in the driver's seat as you learn important architectural concepts and implementation strategies. You'll master the SDK; build WebKit apps using HTML 5; and even learn to extend or replace Android's built-in features by building useful and intriguing examples. ",W. Frank Ableson,Java,N,1900-01-01,1900-01-01,.
3,Specification by Example,1617290084,145.74,4.22,0.84,906,2011-06-03,N/A,Gojko Adzic,Software Engineering,N,1900-01-01,1900-01-01,.
4,Flex 3 in Action,1933988746,219.28,6.78,1.35,838,2009-02-02,N/A,Tariq Ahmed with Jon Hirschi,Internet,N,1900-01-01,1900-01-01,.
5,Flex 4 in Action,1935182420,59.36,1.08,0.21,897,2010-11-15,N/A,Tariq Ahmed,Internet,N,1900-01-01,1900-01-01,.
6,Collective Intelligence in Action,1933988312,193.55,3.26,0.65,1000,2008-10-01,N/A,Satnam Alag,Internet,N,1900-01-01,1900-01-01,.
7,Zend Framework in Action,1933988320,185.61,4.98,0.99,1193,2008-12-01,Zend Framework in Action is a comprehensive tutorial that shows how to use the Zend Framework to create web-based applications and web services. This book takes you on an over-the-shoulder tour of the components of the Zend Framework as you build a high quality; real-world web application.,Rob Allen,Web Development,N,1900-01-01,1900-01-01,.
8,Flex on Java,1933988797,181.56,3.34,0.66,1104,2010-10-15,   A beautifully written book that is a must have for every Java Developer.       Ashish Kulkarni; Technical Director; E-Business Software Solutions Ltd.,Bernerd Allmon,Internet,N,1900-01-01,1900-01-01,.
9,Griffon in Action,1935182234,163.18,3.11,0.62,657,2012-06-04,Griffon in Action is a comprehensive tutorial written for Java developers who want a more productive approach to UI development. In this book; you'll immediately dive into Griffon. After a Griffon orientation and a quick Groovy tutorial; you'll start building examples that explore Griffon's high productivity approach to Swing development. One of the troublesome parts of Swing development is the amount of Java code that is required to get a simple application off the ground.,Andres Almiray,Java,N,1900-01-01,1900-01-01,.
10,OSGi in Depth,193518217X,87.37,5.33,1.06,763,2011-12-12,Enterprise OSGi shows a Java developer how to develop to the OSGi Service Platform Enterprise specification; an emerging Java-based technology for developing modular enterprise applications. Enterprise OSGi addresses several shortcomings of existing enterprise platforms; such as allowing the creation of better maintainable and extensible applications; and provide a simpler; easier-to-use; light-weight solution to enterprise software development.,Alexandre de Castro Alves,Java,N,1900-01-01,1900-01-01,.
11,Flexible Rails,1933988509,86.71,6.4,1.28,1370,2008-01-01,"""Flexible Rails created a standard to which I hold other technical books. You definitely get your money's worth.""",Peter Armstrong,Web Development,N,1900-01-01,1900-01-01,.
12,Hello! Flex 4,1933988762,198.59,15.91,3.18,540,2009-11-01,Hello! Flex 4 progresses through 26 self-contained examples selected so you can progressively master Flex. They vary from small one-page apps; to a 3D rotating haiku; to a Connect Four-like game. And in the last chapter you'll learn to build a full Flex application called SocialStalkr   a mashup that lets you follow your friends by showing their tweets on a Yahoo map.,Peter Armstrong,Internet,N,1900-01-01,1900-01-01,.
13,Coffeehouse,1884777384,114.15,1.98,0.39,330,1997-07-01,Coffeehouse is an anthology of stories; poems and essays originally published on the World Wide Web.,Levi Asher,Miscellaneous,N,1900-01-01,1900-01-01,.
14,Team Foundation Server 2008 in Action,1933988592,220.51,10.15,2.03,1092,2008-12-01,N/A,Jamil Azher,Microsoft .NET,N,1900-01-01,1900-01-01,.
15,Brownfield Application Development in .NET,1933988711,65.81,2.96,0.59,1005,2010-04-16,Brownfield Application Development in .Net shows you how to approach legacy applications with the state-of-the-art concepts; patterns; and tools you've learned to apply to new projects. Using an existing application as an example; this book guides you in applying the techniques and best practices you need to make it more maintainable and receptive to change.,Kyle Baley,Microsoft,N,1900-01-01,1900-01-01,.
